date,title,amount
2026-06-27,Estabelecimento Comercial,"56,50"
2026-06-27,Uber - NuPay,"32,94"
2026-06-27,Estabelecimento Comercial,"11,00"
2026-06-27,Uber - NuPay,"26,16"
2026-06-26,Dl*Uberrides,"8,95"
2026-06-25,Dl*Google Youtub,"16,90"
2026-06-24,"Estorno de ""Apple.Com/Bill"" (Apple)","- 31,41"
2026-06-24,Uber - NuPay,"19,98"
2026-06-24,Uber - NuPay,"- 19,98"
2026-06-24,Uber - NuPay,"17,94"
2026-06-21,Barbearia Local,"85,00"
2026-06-21,Pizzaria Exemplo,"221,00"
2026-06-21,Loja de Roupas,"89,90"
2026-06-20,Mercadao Central,"19,57"
2026-06-20,Uber - NuPay,"16,95"
2026-06-20,Uber - NuPay,"21,93"
2026-06-19,"Estorno de ""Apple.Com/Bill"" (Apple)","- 28,90"
2026-06-19,Apple.Com/Bill,"34,90"
2026-06-19,Restaurante Grill,"59,98"
2026-06-19,Restaurante Grill,"14,00"
2026-06-19,Supermercado Central,"20,47"
2026-06-17,Amazon,"37,02"
2026-06-16,Amazonprimebr,"9,90"
2026-06-16,Mercadolivre*Loja - Parcela 1/2,"34,96"
2026-06-15,Apple.Com/Bill,"28,90"
2026-06-14,Nova Moda Magazine,"55,98"
2026-06-14,Mercadao Central,"12,70"
2026-06-14,Mercadao Central,"24,98"
2026-06-13,Loja de Cosmeticos,"108,90"
2026-06-12,Perfumaria Exemplo,"35,98"
2026-06-12,Outlet Premium,"99,90"
2026-06-12,Chocolateria Exemplo,"56,94"
2026-06-12,Chocolateria Premium,"76,50"
2026-06-12,Academia Exemplo,"19,60"
2026-06-11,Apple.Com/Bill,"5,90"
2026-06-11,Padaria Exemplo,"47,97"
2026-06-10,Prestador de Servicos,"10,00"
2026-06-10,Dl*Uberrides,"12,94"
2026-06-07,Mercadao Central,"5,99"
2026-06-07,Uber - NuPay,"14,94"
2026-06-05,Prestador de Servicos,"24,00"
2026-06-02,Mercadolivre*Loja - Parcela 1/2,"143,33"
2026-06-02,Uber - NuPay,"10,96"
2026-06-01,Mercadao Central,"23,07"
2026-06-01,Mercado Uniao,"10,29"
2026-06-01,Restaurante Local,"83,80"
2026-05-31,Loja Virtual,"39,98"
2026-05-31,Dm*Spotify,"12,90"
2026-05-31,Supermercado Central,"19,58"
2026-05-30,Supermercados Rede,"8,48"
2026-05-30,Fast Food App,"47,90"
2026-05-29,Pagamento recebido,"- 743,95"
2026-05-29,Shopee *Loja - Parcela 2/2,"56,15"
